"","area","numero_dosi","data_consegna"
"1","ABR",135,2020-12-27
"2","ABR",7800,2020-12-30
"3","ABR",3900,2021-01-05
"4","ABR",3900,2021-01-07
"5","BAS",105,2020-12-27
"6","BAS",4875,2020-12-31
"7","BAS",2925,2021-01-05
"8","CAL",280,2020-12-27
"9","CAL",8775,2020-12-31
"10","CAL",3900,2021-01-01
"11","CAL",12675,2021-01-05
"12","CAM",720,2020-12-27
"13","CAM",26325,2020-12-30
"14","CAM",5850,2020-12-31
"15","CAM",975,2021-01-01
"16","CAM",23400,2021-01-05
"17","CAM",9750,2021-01-07
"18","EMR",975,2020-12-27
"19","EMR",42900,2020-12-30
"20","EMR",15600,2021-01-05
"21","EMR",28275,2021-01-07
"22","FVG",265,2020-12-27
"23","FVG",11700,2020-12-30
"24","FVG",7800,2021-01-05
"25","FVG",4875,2021-01-07
"26","LAZ",955,2020-12-27
"27","LAZ",44850,2020-12-30
"28","LAZ",15600,2021-01-05
"29","LAZ",26325,2021-01-07
"30","LIG",320,2020-12-27
"31","LIG",15600,2020-12-30
"32","LIG",12675,2021-01-05
"33","LIG",1950,2021-01-07
"34","LOM",1620,2020-12-27
"35","LOM",78975,2020-12-30
"36","LOM",29250,2021-01-05
"37","LOM",43875,2021-01-07
"38","MAR",200,2020-12-27
"39","MAR",8775,2020-12-30
"40","MAR",6825,2021-01-05
"41","MAR",1950,2021-01-07
"42","MOL",50,2020-12-27
"43","MOL",975,2020-12-30
"44","MOL",1950,2020-12-31
"45","MOL",1950,2021-01-05
"46","PAB",145,2020-12-27
"47","PAB",5850,2020-12-30
"48","PAB",7800,2021-01-05
"49","PAT",100,2020-12-27
"50","PAT",4875,2020-12-30
"51","PAT",1950,2021-01-05
"52","PAT",2925,2021-01-07
"53","PIE",910,2020-12-27
"54","PIE",39975,2020-12-30
"55","PIE",20475,2021-01-05
"56","PIE",21450,2021-01-07
"57","PUG",505,2020-12-27
"58","PUG",21450,2020-12-31
"59","PUG",3900,2021-01-01
"60","PUG",5850,2021-01-05
"61","PUG",16575,2021-01-07
"62","SAR",180,2020-12-27
"63","SAR",12675,2020-12-31
"64","SAR",6825,2021-01-05
"65","SIC",685,2020-12-27
"66","SIC",45825,2020-12-31
"67","SIC",32175,2021-01-05
"68","TOS",620,2020-12-27
"69","TOS",27300,2020-12-30
"70","TOS",3900,2021-01-05
"71","TOS",20475,2021-01-07
"72","UMB",85,2020-12-27
"73","UMB",4875,2020-12-30
"74","UMB",4875,2021-01-05
"75","VDA",20,2020-12-27
"76","VDA",975,2020-12-30
"77","VDA",975,2021-01-05
"78","VEN",875,2020-12-27
"79","VEN",38025,2020-12-30
"80","VEN",4875,2021-01-05
"81","VEN",34125,2021-01-07
