data,totale_pfizer,totale_moderna,totale_dosi_consegnate,totale_dosi
2020-12-27,9750,0,9750,9750
2020-12-28,0,0,0,9750
2020-12-29,0,0,0,9750
2020-12-30,359775,0,359775,369525
2020-12-31,101400,0,101400,470925
2021-01-01,8775,0,8775,479700
2021-01-02,0,0,0,479700
2021-01-03,0,0,0,479700
2021-01-04,0,0,0,479700
2021-01-05,215475,0,215475,695175
2021-01-06,0,0,0,695175
2021-01-07,223275,0,223275,918450
2021-01-08,0,0,0,918450
2021-01-09,0,0,0,918450
2021-01-10,0,0,0,918450
2021-01-11,75075,0,75075,993525
2021-01-12,415350,0,415350,1408875
2021-01-13,0,46800,46800,1455675
2021-01-14,0,0,0,1455675
2021-01-15,0,0,0,1455675
2021-01-16,0,0,0,1455675
2021-01-17,0,0,0,1455675
2021-01-18,86580,0,86580,1542255
2021-01-19,54990,0,54990,1597245
2021-01-20,104130,0,104130,1701375
2021-01-21,152100,0,152100,1853475
2021-01-22,0,0,0,1853475
2021-01-23,0,0,0,1853475
2021-01-24,0,0,0,1853475
2021-01-25,16380,0,16380,1869855
2021-01-26,257400,0,257400,2127255
2021-01-27,191880,0,191880,2319135
2021-01-28,0,0,0,2319135
2021-01-29,5850,0,5850,2324985
2021-01-30,0,0,0,2324985
