nome,area,popolazione_2020,dosi_pfizer,dosi_moderna,dosi_totale,vaccinati_totale,dosi_ogni_mille,vaccini_ogni_mille,percent_vaccini_somministrati,sesso_maschile,sesso_femminile,operatori_sanitari,personale_non_sanitario,ospiti_rsa
Abruzzo,ABR,1293941,29190,1300,30490,18175,23.56,14.05,0.6,6700,11475,16373,1517,285
Basilicata,BAS,553254,17265,0,17265,10362,31.21,18.73,0.6,4233,6129,6210,2880,1272
Calabria,CAL,1894110,39280,0,39280,20553,20.74,10.85,0.52,10151,10402,17624,2755,174
Campania,CAM,5712143,111675,8200,119875,105274,20.99,18.43,0.88,50463,54811,70327,31058,3889
Emilia-Romagna,EMR,4464119,140985,7400,148385,120307,33.24,26.95,0.81,40707,79600,75326,33085,11896
Friuli-Venezia Giulia,FVG,1206216,39655,0,39655,33475,32.88,27.75,0.84,10985,22490,23756,5908,3811
Lazio,LAZ,5755700,138430,7500,145930,115608,25.35,20.09,0.79,44587,71021,93701,9188,10339
Liguria,LIG,1524826,49460,0,49460,32430,32.44,21.27,0.66,11633,20797,19785,8519,4034
Lombardia,LOM,10027602,254340,0,254340,200124,25.36,19.96,0.79,66295,133829,12113,187780,192
Marche,MAR,1512672,27500,1500,29000,26194,19.17,17.32,0.9,9376,16818,19638,5071,1485
Molise,MOL,300516,11165,0,11165,6566,37.15,21.85,0.59,2424,4142,4072,975,1519
Provincia Autonoma Bolzano / Bozen,PAB,532644,23155,0,23155,21466,43.47,40.3,0.93,8149,13317,4538,11465,1679
Provincia Autonoma Trento,PAT,545425,15700,0,15700,10754,28.78,19.72,0.68,3101,7653,6900,916,2938
Piemonte,PIE,4311217,135460,0,135460,119702,31.42,27.77,0.88,40169,79533,83645,21654,14403
Puglia,PUG,3953305,93325,0,93325,65187,23.61,16.49,0.7,27852,37335,52103,8505,4569
Sardegna,SAR,1611621,33330,0,33330,25703,20.68,15.95,0.77,9273,16430,20876,4669,158
Sicilia,SIC,4875290,125485,6600,132085,94716,27.09,19.43,0.72,45762,48954,73164,18196,3356
Toscana,TOS,3692555,87590,5300,92890,72811,25.16,19.72,0.78,24693,48118,57960,3941,10910
Umbria,UMB,870165,18025,1000,19025,13489,21.86,15.5,0.71,4478,9011,10781,334,2374
Valle d'Aosta / Vallée d'Aoste,VDA,125034,3920,200,4120,3835,32.95,30.67,0.93,1390,2445,0,3835,0
Veneto,VEN,4879133,116900,7800,124700,109590,25.56,22.46,0.88,33293,76297,72657,17068,19865
Italia,ITA,59641488,1511835,46800,1558635,1226321,26.13,20.56,0.79,455714,770607,741549,379319,99148
